rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_teff,st_mass,st_rad,rowupdate
411,HD 202206,c,Radial Velocity,2,1383.40000000,2.550000,0.267000,2.44000,46.34,5765.00,1.15,,2015-08-27
412,HD 203030,b,Imaging,1,,487.100000,,24.09000,40.85,,,,2014-05-14
413,HD 2039,b,Radial Velocity,1,1120.00000000,2.230000,0.715000,6.11000,89.85,5941.00,1.17,,2014-08-21
414,HD 204313,b,Radial Velocity,2,2024.10000000,3.167000,0.094600,4.28000,47.30,5776.00,1.02,,2015-11-19
415,HD 204313,c,Radial Velocity,2,34.90500000,0.209900,0.155000,0.05530,47.30,5776.00,1.02,,2015-11-19
416,HD 204941,b,Radial Velocity,1,1733.00000000,2.560000,0.370000,0.26600,26.95,5056.00,0.74,0.72,2014-05-14
417,HD 205739,b,Radial Velocity,1,279.80000000,0.896000,0.270000,1.37000,90.33,6176.00,1.22,1.33,2014-09-25
418,HD 206610,b,Radial Velocity,1,610.00000000,1.680000,0.229000,2.20000,170.07,4874.00,1.56,6.10,2014-05-14
419,HD 20782,b,Radial Velocity,1,597.06500000,1.397000,0.956000,1.43000,35.50,5798.00,1.02,1.09,2016-05-19
420,HD 207832,b,Radial Velocity,2,161.97000000,0.570000,0.130000,0.56000,55.31,5710.00,0.94,0.90,2015-09-10
421,HD 207832,c,Radial Velocity,2,1155.70000000,2.112000,0.270000,0.73000,55.31,5710.00,0.94,0.90,2015-09-10
422,HD 20794,b,Radial Velocity,3,18.31500000,0.120700,0.000000,0.00850,6.06,5401.00,0.70,,2015-08-27
423,HD 20794,c,Radial Velocity,3,40.11400000,0.203600,0.000000,0.00760,6.06,5401.00,0.70,,2015-08-27
424,HD 20794,d,Radial Velocity,3,90.30900000,0.349900,0.000000,0.01500,6.06,5401.00,0.70,,2015-08-27
425,HD 208487,b,Radial Velocity,1,130.08000000,0.524000,0.240000,0.52000,44.00,6067.00,1.13,,2014-11-05
426,HD 208527,b,Radial Velocity,1,875.50000000,2.100000,0.080000,9.90000,352.11,4035.00,1.60,51.10,2014-05-14
427,HD 20868,b,Radial Velocity,1,380.85000000,0.947000,0.750000,1.99000,48.90,4795.00,0.78,0.79,2014-11-05
428,HD 209458,b,Radial Velocity,1,3.52474859,,,,47.08,,1.10,1.12,2014-08-21
429,HD 210277,b,Radial Velocity,1,442.19000000,1.138000,0.476000,1.29000,21.29,5555.00,1.01,,2014-11-19
430,HD 210702,b,Radial Velocity,1,354.80000000,1.200000,0.094000,1.90000,55.93,4967.00,1.68,5.10,2015-09-03
431,HD 212301,b,Radial Velocity,1,2.24571500,0.036000,0.000000,0.45000,52.72,6256.00,1.27,,2014-05-14
432,HD 212771,b,Radial Velocity,1,373.30000000,1.220000,0.111000,2.30000,121.80,5121.00,1.15,5.00,2014-05-14
433,HD 213240,b,Radial Velocity,1,951.00000000,2.030000,0.450000,4.50000,40.75,,,,2015-04-30
434,HD 214823,b,Radial Velocity,1,1877.00000000,3.180000,0.154000,19.20000,97.47,6215.00,1.22,,2016-05-19
435,HD 215497,b,Radial Velocity,2,3.93404000,0.047000,0.160000,0.02000,43.53,5113.00,0.87,,2014-11-19
436,HD 215497,c,Radial Velocity,2,567.94000000,1.282000,0.490000,0.33000,43.53,5113.00,0.87,,2014-11-19
437,HD 216435,b,Radial Velocity,1,1311.00000000,2.560000,0.070000,1.26000,33.29,5999.00,1.30,,2014-07-23
438,HD 216437,b,Radial Velocity,1,1256.00000000,2.320000,0.290000,1.82000,26.52,,1.15,,2015-04-24
439,HD 216536,b,Radial Velocity,1,148.60000000,0.609000,0.380000,1.47000,,4639.00,1.36,12.50,2015-02-05
440,HD 216770,b,Radial Velocity,1,118.45000000,0.460000,0.370000,0.65000,37.89,,0.90,,2015-04-24
441,HD 217107,b,Radial Velocity,2,7.12681600,0.074800,0.126700,1.39000,19.72,5646.00,1.02,,2014-05-14
442,HD 217107,c,Radial Velocity,2,4270.00000000,5.320000,0.517000,2.60000,19.72,5646.00,1.02,,2014-05-14
443,HD 217786,b,Radial Velocity,1,1319.00000000,2.380000,0.400000,13.00000,54.80,5966.00,1.02,1.27,2014-05-14
444,HD 218566,b,Radial Velocity,1,225.70000000,0.687300,0.300000,0.21000,29.94,4820.00,0.85,0.86,2014-05-14
445,HD 219077,b,Radial Velocity,1,5501.00000000,6.220000,0.770000,10.39000,29.20,5362.00,1.05,1.91,2014-05-14
